comprador_unico,n_items_sum,lead_min,n_categorias_sum,n_sellers_sum,reviews_buenas,freight_total_sum,frequency,recencia,compras_x_mes,monto_rango,installments_max,monto_sum,ordenes_180d,review_max,recencia_rel,ordenes_90d,monto_60d,freight_ratio_sum,monto_90d,cat_div_ratio,dow_distintos,meses_activo,n_items_max,ordenes_60d,ordenes_30d,cuotas_uso_ratio
1,2.0,9.0,1.0,1.0,0.0,31.77,1.0,105.0,0.2857142857142857,0.0,5.0,355.77,1.0,1.0,1.0,0.0,0.0,0.09805555555555555,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0
1,1.0,19.0,1.0,1.0,0.0,12.9,1.0,41.0,0.7317073170731707,0.0,8.0,212.88,1.0,1.0,1.0,1.0,212.88,0.06450645064506451,212.88,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,7.0,1.0,1.0,1.0,8.72,1.0,65.0,0.46153846153846156,0.0,2.0,65.71,1.0,5.0,1.0,1.0,0.0,0.15300929987717143,65.71,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1.0,20.0,1.0,1.0,1.0,25.71,1.0,74.0,0.4054054054054054,0.0,4.0,87.21,1.0,5.0,1.0,1.0,0.0,0.4180487804878049,87.21,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1.0,13.0,1.0,1.0,1.0,34.35,1.0,35.0,0.8571428571428571,0.0,4.0,133.35,1.0,5.0,1.0,1.0,133.35,0.346969696969697,133.35,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,2.0,1.0,1.0,1.0,8.11,1.0,22.0,1.0,0.0,1.0,49.41,1.0,5.0,1.0,1.0,49.41,0.1963680387409201,49.41,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,1.0,7.0,1.0,1.0,1.0,13.52,1.0,106.0,0.2830188679245283,0.0,7.0,85.52,1.0,5.0,1.0,0.0,0.0,0.18777777777777777,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1.0,24.0,1.0,1.0,1.0,19.83,1.0,117.0,0.25641025641025644,0.0,1.0,378.83,1.0,5.0,1.0,0.0,0.0,0.05523676880222841,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,1.0,13.0,1.0,1.0,1.0,14.08,1.0,92.0,0.32608695652173914,0.0,1.0,63.98,1.0,5.0,1.0,0.0,0.0,0.2821643286573146,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,1.0,10.0,1.0,1.0,1.0,15.79,1.0,18.0,1.0,0.0,1.0,64.79,1.0,5.0,1.0,1.0,64.79,0.32224489795918365,64.79,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,1.0,13.0,1.0,1.0,1.0,14.25,1.0,111.0,0.27027027027027023,0.0,1.0,86.25,1.0,4.0,1.0,0.0,0.0,0.19791666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,2.0,13.0,1.0,1.0,0.0,35.34,1.0,114.0,0.2631578947368421,0.0,4.0,155.14,1.0,1.0,1.0,0.0,0.0,0.294991652754591,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0
0,1.0,10.0,1.0,1.0,1.0,16.66,1.0,57.0,0.5357142857142857,0.0,2.0,105.18,1.0,5.0,1.0,1.0,32.09,0.22492307692307692,77.11,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,16.0,1.0,1.0,0.0,17.07,1.0,56.0,0.5357142857142857,0.0,1.0,106.97,1.0,3.0,1.0,1.0,106.97,0.18987764182424915,106.97,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,1.0,13.0,1.0,1.0,1.0,13.07,1.0,92.0,0.32608695652173914,0.0,1.0,117.97,1.0,5.0,1.0,0.0,0.0,0.12459485224022879,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,1.0,14.0,1.0,1.0,0.0,21.05,1.0,118.0,0.2542372881355932,0.0,1.0,921.04,1.0,3.0,1.0,0.0,0.0,0.027375,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,1.0,6.0,1.0,1.0,1.0,9.09,1.0,14.0,1.0,0.0,1.0,48.99,1.0,4.0,1.0,1.0,48.99,0.22781954887218045,48.99,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,1.0,13.0,1.0,1.0,1.0,14.07,1.0,48.0,0.625,0.0,1.0,164.06,1.0,5.0,1.0,1.0,164.06,0.09380625375025001,164.06,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,1.0,12.0,1.0,1.0,1.0,21.02,1.0,111.0,0.27027027027027023,0.0,4.0,916.02,1.0,5.0,1.0,0.0,0.0,0.027375,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1.0,30.0,1.0,1.0,0.0,19.03,1.0,72.0,0.4166666666666667,0.0,5.0,89.02,1.0,1.0,1.0,1.0,0.0,0.27189598514073443,89.02,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1,1.0,17.0,1.0,1.0,1.0,37.27,1.0,66.0,0.45454545454545453,0.0,10.0,596.27,1.0,5.0,1.0,1.0,0.0,0.06667262969588551,596.27,1.0,1.0,1.0,1.0,0.0,0.0,1.0
