customer_unique_id,is_churn,recency_obs,frequency_obs,ticket_prom,avg_items,avg_freight,freight_ratio,n_sellers,avg_cuotas,max_cuotas,lead_time_prom,delay_max,pct_boleto,pct_credito,pct_finde,n_categorias,review_score,reg_CentroOeste,reg_Nordeste,reg_Norte,reg_Sudeste,reg_Sur
6e24457b3e5fbcb86beab8de6c1e9c21,1,254.0,1.0,331.8,1.0,17.9,0.05702453010512902,1.0,10.0,10.0,18.0,-6.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
53c84ac43bbfafb7a6b5d9076ab423c7,1,91.0,2.0,72.3,1.0,16.93,0.3349279050042409,2.0,1.0,1.0,24.5,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
f78a31b9a64ab9a8542f7cb27a399296,1,75.0,1.0,99.34,1.0,9.44,0.10500556173526139,1.0,9.0,9.0,11.0,-2.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
f6ae4a10d8c62602cd23d5deefb8b0ac,1,121.0,1.0,153.01,1.0,13.11,0.09370979270907791,1.0,1.0,1.0,11.0,-11.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
92d8d3769e33b13903af5274f6f498d8,1,213.0,1.0,60.11,1.0,15.56,0.349270482603816,1.0,6.0,6.0,16.0,-6.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
01ecc1f1f21f05d0736c99d92646f132,1,103.0,1.0,65.0,1.0,15.1,0.3026052104208417,1.0,2.0,2.0,10.0,-14.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0
3236f16f98e0f258ccfa3a172cebce64,1,184.0,1.0,44.0,1.0,14.1,0.47157190635451507,1.0,2.0,2.0,10.0,-12.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
907d039d303cd597384e37e26cfe798e,1,128.0,1.0,243.57,1.0,38.57,0.18814634146341463,1.0,3.0,3.0,11.0,-25.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0
20db05605066c869e0c25e0dcddd08e7,1,54.0,1.0,39.85,1.0,11.85,0.4232142857142857,1.0,1.0,1.0,10.0,-11.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
c8e6e6ca79782e260e7835062b50ab27,1,0.0,1.0,159.03,1.0,14.13,0.09751552795031056,1.0,3.0,3.0,7.0,-2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
7e42c7f898b0040e9736fc210f3cc30a,1,227.0,1.0,279.94,1.0,30.94,0.1242570281124498,1.0,10.0,10.0,43.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
256b3e7a939dddf3e40608cac69e88c7,1,217.0,2.0,87.34,1.0,15.71,0.22517713864117742,2.0,1.0,1.0,14.0,-7.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0
cab990a33edd2081f35570a285bf0dca,1,194.0,1.0,44.24,1.0,9.34,0.267621776504298,1.0,3.0,3.0,6.0,-1.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
659ab261634a07f28cf9863ac3b472f2,1,70.0,1.0,75.65,1.0,16.66,0.2824207492795389,1.0,7.0,7.0,13.0,-6.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
f077f1785fb4a5beb0425b5e90f233d5,1,31.0,1.0,106.16,1.0,16.26,0.18086763070077866,1.0,1.0,1.0,8.0,-10.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
